2025-12-14T02:44:49.000000000Z [inf]  Starting Container
2025-12-14T02:44:49.435838277Z [inf]  > npm run start -w bot
2025-12-14T02:44:49.435843825Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-14T02:44:49.435846671Z [inf]  
2025-12-14T02:44:49.435852507Z [inf]  
2025-12-14T02:44:49.435860052Z [inf]  > gpt-scalping-bot@1.0.0 start
2025-12-14T02:44:49.489362350Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-14T02:44:49.558165211Z [inf]  
2025-12-14T02:44:49.558174470Z [inf]  > bot@1.0.0 start
2025-12-14T02:44:49.558181769Z [inf]  > node dist/index.js
2025-12-14T02:44:49.558189323Z [inf]  
2025-12-14T02:44:49.861310741Z [inf]  [Config] Max hold time: 4h
2025-12-14T02:44:49.861318095Z [inf]  =========================================
2025-12-14T02:44:49.861323727Z [inf]      GPT 5.2 SCALPING BOT - v1.0.1
2025-12-14T02:44:49.861331708Z [inf]  =========================================
2025-12-14T02:44:49.861344023Z [inf]  
2025-12-14T02:44:49.861353448Z [inf]  [Config] All required configurations present
2025-12-14T02:44:49.861359833Z [inf]  [Config] Trading enabled: true
2025-12-14T02:44:49.861367940Z [inf]  [Config] Max leverage: 10x
2025-12-14T02:44:49.861374996Z [inf]  [Config] Max position size: 50%
2025-12-14T02:44:49.861381571Z [inf]  [Config] Min confidence: 45%
2025-12-14T02:44:49.863712545Z [inf]  [Main] Auto-starting trading bot...
2025-12-14T02:44:49.863714098Z [inf]  [Engine] Max leverage: 10x
2025-12-14T02:44:49.863723560Z [inf]  [Engine] Starting trading bot...
2025-12-14T02:44:49.863731193Z [inf]  [Engine] Min confidence: 45%
2025-12-14T02:44:49.875123346Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-14T02:44:49.875131264Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-14T02:44:49.875137184Z [inf]  [Server] Running on port 3001
2025-12-14T02:44:50.420359988Z [inf]  [Engine] Account balance: $4669.66
2025-12-14T02:44:50.420368937Z [inf]  [Engine] Available balance: $4669.66
2025-12-14T02:44:51.353696033Z [inf]  [Engine] Found 0 open positions
2025-12-14T02:44:51.353702481Z [inf]  [Engine] Bot started successfully
2025-12-14T02:44:51.353711768Z [inf]  
2025-12-14T02:44:51.353717984Z [inf]  [Main] Bot is ready!
2025-12-14T02:44:51.353724088Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-14T02:44:51.353729503Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-14T02:44:51.353735339Z [inf]  
2025-12-14T02:44:51.818462864Z [inf]  [WS] Connected to Binance
2025-12-14T02:45:01.767287969Z [inf]  [GPT-Screen] INJUSDT: score=30, direction=NONE, hasOpp=false
2025-12-14T02:45:01.767296155Z [inf]  [Engine] INJUSDT: No opportunity (score: 30) - skipping full analysis
2025-12-14T02:45:01.767311847Z [inf]  [GPT-Screen] INJUSDT full response: {
2025-12-14T02:45:01.767323531Z [inf]    "index": 0,
2025-12-14T02:45:01.767335140Z [inf]    "message": {
2025-12-14T02:45:01.767342635Z [inf]      "role": "assistant",
2025-12-14T02:45:01.767350134Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 30}",
2025-12-14T02:45:01.767356140Z [inf]      "refusal": null,
2025-12-14T02:45:01.767362352Z [inf]      "annotations": []
2025-12-14T02:45:01.767368498Z [inf]    },
2025-12-14T02:45:01.767374427Z [inf]    "finish_reason": "stop"
2025-12-14T02:45:01.767382288Z [inf]  }
2025-12-14T02:45:04.414290706Z [inf]      "refusal": null,
2025-12-14T02:45:04.414295557Z [inf]      "annotations": []
2025-12-14T02:45:04.414299860Z [inf]    },
2025-12-14T02:45:04.414304451Z [inf]    "finish_reason": "stop"
2025-12-14T02:45:04.414309290Z [inf]  }
2025-12-14T02:45:04.414314535Z [inf]  [GPT-Screen] ARBUSDT: score=72, direction=BUY, hasOpp=true
2025-12-14T02:45:04.414320260Z [inf]  [Engine] ARBUSDT: Opportunity detected! (score: 72, direction: BUY)
