2025-12-15T19:43:11.000000000Z [inf]  Starting Container
2025-12-15T19:43:12.751675769Z [inf]  
2025-12-15T19:43:12.751697983Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-15T19:43:12.751698694Z [inf]  > bot@1.0.0 start
2025-12-15T19:43:12.751708339Z [inf]  > node dist/index.js
2025-12-15T19:43:12.751717441Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-15T19:43:12.751717606Z [inf]  
2025-12-15T19:43:12.751727128Z [inf]  =========================================
2025-12-15T19:43:12.751728892Z [inf]  
2025-12-15T19:43:12.751736726Z [inf]      GPT 5.2 SCALPING BOT - v1.0.2
2025-12-15T19:43:12.751739570Z [inf]  > gpt-scalping-bot@1.0.0 start
2025-12-15T19:43:12.751746124Z [inf]  =========================================
2025-12-15T19:43:12.751751041Z [inf]  > npm run start -w bot
2025-12-15T19:43:12.751757029Z [inf]  
2025-12-15T19:43:12.751761137Z [inf]  
2025-12-15T19:43:12.751767038Z [inf]  [Config] All required configurations present
2025-12-15T19:43:12.751769985Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-15T19:43:12.751774897Z [inf]  [Config] Trading enabled: true
2025-12-15T19:43:12.751780693Z [inf]  [Config] Max leverage: 10x
2025-12-15T19:43:12.751787102Z [inf]  [Config] Max position size: 50%
2025-12-15T19:43:12.751794584Z [inf]  [Config] Min confidence: 45%
2025-12-15T19:43:12.751801589Z [inf]  [Config] Max hold time: 4h
2025-12-15T19:43:12.751808169Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-15T19:43:13.636307622Z [inf]  [Memory] Loading historical data from database...
2025-12-15T19:43:13.636307997Z [inf]  [Database] Connected to PostgreSQL (Neon)
2025-12-15T19:43:14.628336735Z [inf]  [Memory] Loaded 316 trades from database
2025-12-15T19:43:14.628342209Z [inf]  [Memory] Loaded 166 learnings from database
2025-12-15T19:43:14.668343257Z [inf]  [Memory] Loaded 794 patterns from database
2025-12-15T19:43:14.668351025Z [inf]  [Memory] Database initialization complete!
2025-12-15T19:43:14.671296223Z [inf]  [Main] Auto-starting trading bot...
2025-12-15T19:43:14.671312027Z [inf]  [Engine] Starting trading bot...
2025-12-15T19:43:14.671321948Z [inf]  [Engine] Min confidence: 60%
2025-12-15T19:43:14.671330569Z [inf]  [Engine] Max leverage: 10x
2025-12-15T19:43:14.690896269Z [inf]  [Server] Running on port 3001
2025-12-15T19:43:15.643832466Z [inf]  [Engine] Account balance: $4427.27
2025-12-15T19:43:15.643843695Z [inf]  [Engine] Available balance: $4427.27
2025-12-15T19:43:15.643851956Z [inf]  [Engine] Today's stats (GDL 2025-12-15): 131 trades, $7.02 PnL
2025-12-15T19:43:15.657961862Z [inf]  [Engine] Found 0 open positions
2025-12-15T19:43:15.661826305Z [inf]  [Engine] Bot started successfully
2025-12-15T19:43:15.664108380Z [inf]  
2025-12-15T19:43:15.664113980Z [inf]  [Main] Bot is ready!
2025-12-15T19:43:15.664119396Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-15T19:43:15.664126386Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-15T19:43:15.664132124Z [inf]  
2025-12-15T19:43:16.650581064Z [inf]  [WS] Connected to Binance
2025-12-15T19:43:23.613436514Z [inf]  [Socket] Client connected: bCmJUwjdRJLXbZanAAAB
2025-12-15T19:43:29.744831646Z [inf]  [GPT-Screen] SOLUSDT: score=76, direction=BUY, hasOpp=true
2025-12-15T19:43:29.744837951Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 76, direction: BUY)
2025-12-15T19:43:30.819617545Z [inf]  [CryptoPanic] Fetched global sentiment (cached 15 min)
2025-12-15T19:43:30.819623446Z [inf]  [GPT-Screen] BNBUSDT: score=68, direction=SELL, hasOpp=true
2025-12-15T19:43:30.819629849Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 68, direction: SELL)
2025-12-15T19:43:34.774612844Z [inf]  [GPT-Screen] XRPUSDT: score=40, direction=SELL, hasOpp=false
2025-12-15T19:43:34.774620856Z [inf]  [Engine] XRPUSDT: No opportunity (score: 40) - skipping
2025-12-15T19:43:35.721662241Z [inf]  [GPT-Screen] ETHUSDT: score=65, direction=SELL, hasOpp=true
2025-12-15T19:43:35.721672593Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 65, direction: SELL)
2025-12-15T19:43:35.721678621Z [inf]  [GPT-Screen] BTCUSDT: score=35, direction=NONE, hasOpp=false
2025-12-15T19:43:35.721684088Z [inf]  [Engine] BTCUSDT: No opportunity (score: 35) - skipping
2025-12-15T19:43:36.644324181Z [inf]  [GPT-Screen] DOGEUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:43:45.722828812Z [inf]  [GPT-Screen] DOGEUSDT: score=60, direction=BUY, hasOpp=true
2025-12-15T19:43:45.722837094Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 60, direction: BUY)
2025-12-15T19:43:50.858751498Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:43:54.529876940Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:43:55.698967158Z [inf]  [Engine] BNBUSDT: SELL (58%)
2025-12-15T19:43:55.698976276Z [inf]  [Engine]   └─ Size: 1.5% | Lev: 4x | SL: $857.40 | TP: $845.10
2025-12-15T19:44:04.545063137Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:44:34.668090774Z [inf]  [GPT-Screen] BTCUSDT: score=60, direction=BUY, hasOpp=true
2025-12-15T19:44:34.668097910Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 60, direction: BUY)
2025-12-15T19:44:54.665063610Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:44:58.871307165Z [inf]  [GPT-Screen] ETHUSDT: score=60, direction=SELL, hasOpp=true
2025-12-15T19:44:58.871313315Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 60, direction: SELL)
2025-12-15T19:45:29.007718809Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:45:31.111890639Z [inf]  [GPT-Screen] BTCUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:45:31.778002908Z [inf]  [GPT-Screen] BNBUSDT: score=60, direction=SELL, hasOpp=true
2025-12-15T19:45:31.778013070Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 60, direction: SELL)
2025-12-15T19:45:51.223593522Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 64, direction: BUY)
2025-12-15T19:45:51.223616844Z [inf]  [Engine] BNBUSDT: SELL (62%)
2025-12-15T19:45:51.223626180Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $858.20 | TP: $846.90
2025-12-15T19:45:51.223639319Z [inf]  [Engine] BNBUSDT: Skipping trade - 8 consecutive losses (cooling down)
2025-12-15T19:45:51.223746441Z [inf]  [GPT-Screen] BTCUSDT: score=64, direction=BUY, hasOpp=true
2025-12-15T19:46:11.220900258Z [inf]  [GPT-Screen] SOLUSDT: score=55, direction=BUY, hasOpp=true
2025-12-15T19:46:11.220914983Z [inf]  [Engine] SOLUSDT: No opportunity (score: 55) - skipping
2025-12-15T19:46:11.220928648Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:46:15.898147359Z [inf]  [GPT-Screen] ETHUSDT: score=70, direction=BUY, hasOpp=true
2025-12-15T19:46:15.898154389Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 70, direction: BUY)
2025-12-15T19:46:16.984369303Z [inf]  [GPT-Screen] XRPUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:46:24.119629880Z [inf]  [GPT-Screen] BTCUSDT: score=72, direction=SELL, hasOpp=true
2025-12-15T19:46:24.119641947Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 72, direction: SELL)
2025-12-15T19:46:31.005410691Z [inf]  [Engine] XRPUSDT: No opportunity (score: 0) - skipping
2025-12-15T19:46:31.005439672Z [inf]  [GPT-Screen] XRPUSDT: Empty content after 2 attempts
2025-12-15T19:46:31.963507469Z [inf]  [Engine] ETHUSDT: BUY (52%)
2025-12-15T19:46:31.963513333Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $2908.00 | TP: $2976.00
2025-12-15T19:46:39.214332454Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:46:40.079078409Z [inf]  [GPT-Screen] BNBUSDT: score=72, direction=BUY, hasOpp=true
2025-12-15T19:46:40.079082781Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 72, direction: BUY)
