2025-12-14T02:56:16.000000000Z [inf]  Starting Container
2025-12-14T02:56:17.418870980Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-14T02:56:17.418878752Z [inf]  
2025-12-14T02:56:17.418884290Z [inf]  > gpt-scalping-bot@1.0.0 start
2025-12-14T02:56:17.418889443Z [inf]  > npm run start -w bot
2025-12-14T02:56:17.418894991Z [inf]  
2025-12-14T02:56:17.418901299Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-14T02:56:17.418907224Z [inf]  
2025-12-14T02:56:17.418912899Z [inf]  > bot@1.0.0 start
2025-12-14T02:56:17.418919026Z [inf]  > node dist/index.js
2025-12-14T02:56:17.418930665Z [inf]  
2025-12-14T02:56:17.419350066Z [inf]  =========================================
2025-12-14T02:56:17.419355928Z [inf]      GPT 5.2 SCALPING BOT - v1.0.1
2025-12-14T02:56:17.419361333Z [inf]  =========================================
2025-12-14T02:56:17.419367035Z [inf]  
2025-12-14T02:56:17.419371648Z [inf]  [Config] All required configurations present
2025-12-14T02:56:17.419376339Z [inf]  [Config] Trading enabled: true
2025-12-14T02:56:17.419380617Z [inf]  [Config] Max leverage: 10x
2025-12-14T02:56:17.419384567Z [inf]  [Config] Max position size: 50%
2025-12-14T02:56:17.419388736Z [inf]  [Config] Min confidence: 45%
2025-12-14T02:56:17.419392928Z [inf]  [Config] Max hold time: 4h
2025-12-14T02:56:17.419397404Z [inf]  [Main] Auto-starting trading bot...
2025-12-14T02:56:17.419401890Z [inf]  [Engine] Starting trading bot...
2025-12-14T02:56:17.419406034Z [inf]  [Engine] Min confidence: 45%
2025-12-14T02:56:17.419411664Z [inf]  [Engine] Max leverage: 10x
2025-12-14T02:56:17.419415799Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-14T02:56:17.419420010Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-14T02:56:17.419424788Z [inf]  [Server] Running on port 3001
2025-12-14T02:56:18.316998949Z [inf]  [Engine] Account balance: $4667.25
2025-12-14T02:56:18.317004279Z [inf]  [Engine] Available balance: $4396.58
2025-12-14T02:56:18.383539215Z [inf]  [Engine] Found 2 open positions
2025-12-14T02:56:18.383545834Z [inf]  [Engine] Bot started successfully
2025-12-14T02:56:18.383554681Z [inf]  
2025-12-14T02:56:18.383559216Z [inf]  [Main] Bot is ready!
2025-12-14T02:56:18.383564489Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-14T02:56:18.383568980Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-14T02:56:18.383573433Z [inf]  
2025-12-14T02:56:19.459702293Z [inf]  [WS] Connected to Binance
2025-12-14T02:56:22.362733259Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:22.362740915Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:22.362748413Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:22.412556067Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:23.437922628Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:23.438007293Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:23.438017173Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:23.470288991Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:23.718273736Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:23.780093828Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:24.323596392Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:24.323603452Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.323613603Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.323620603Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.365530970Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.371768885Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.395672062Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.398714028Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.412599808Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-14T02:56:24.697716607Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:25.298162433Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:25.298169158Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:25.298175712Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:25.420716294Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:26.366630568Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:26.887543864Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:27.362336006Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:27.362343066Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:27.498413412Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:28.454040052Z [inf]  [Engine] 🧠 Learned: En Order Book imbalance ~0% y sin indicadores, esperar confirmación de volumen o RSI antes de abrir long
2025-12-14T02:56:28.454072766Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:28.454077528Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:28.454085676Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:28.454090860Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:28.682097600Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:28.909960677Z [inf]  [Engine] ❌ Position closed: XRPUSDT | PnL: -0.01% ($-0.08) | Reason: tp
2025-12-14T02:56:29.365040207Z [inf]  [Engine] ⚠️ Position BTCUSDT was closed externally
2025-12-14T02:56:29.566728042Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:29.566742090Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:29.752517982Z [inf]  [GPT-Screen] SOLUSDT full response: {
2025-12-14T02:56:29.752523550Z [inf]    "index": 0,
2025-12-14T02:56:29.752529159Z [inf]    "message": {
2025-12-14T02:56:29.752535133Z [inf]      "role": "assistant",
2025-12-14T02:56:29.752542873Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 20}",
2025-12-14T02:56:29.752548846Z [inf]      "refusal": null,
2025-12-14T02:56:29.752554650Z [inf]      "annotations": []
2025-12-14T02:56:29.752561329Z [inf]    },
2025-12-14T02:56:29.752567063Z [inf]    "finish_reason": "stop"
2025-12-14T02:56:29.752573008Z [inf]  }
2025-12-14T02:56:29.752577726Z [inf]  [GPT-Screen] SOLUSDT: score=20, direction=NONE, hasOpp=false
2025-12-14T02:56:29.752582696Z [inf]  [Engine] SOLUSDT: No opportunity (score: 20) - skipping full analysis
2025-12-14T02:56:30.513835444Z [err]  [Engine] Failed to close position: Request failed with status code 400
2025-12-14T02:56:30.513843984Z [inf]  [Engine] 🧠 Learned: En falta de confirmación (RSI/OB/régimen), no abrir posición: esperar confluencia de señales.
2025-12-14T02:56:30.840385539Z [inf]  [GPT-Screen] AVAXUSDT full response: {
2025-12-14T02:56:30.840390509Z [inf]    "index": 0,
2025-12-14T02:56:30.840401146Z [inf]    "message": {
2025-12-14T02:56:30.840407453Z [inf]      "role": "assistant",
2025-12-14T02:56:30.840414245Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 20}",
2025-12-14T02:56:30.840420215Z [inf]      "refusal": null,
2025-12-14T02:56:30.840425677Z [inf]      "annotations": []
2025-12-14T02:56:30.840434202Z [inf]    },
2025-12-14T02:56:30.840440434Z [inf]    "finish_reason": "stop"
2025-12-14T02:56:30.840447115Z [inf]  }
2025-12-14T02:56:30.840453835Z [inf]  [GPT-Screen] AVAXUSDT: score=20, direction=NONE, hasOpp=false
2025-12-14T02:56:30.840459552Z [inf]  [Engine] AVAXUSDT: No opportunity (score: 20) - skipping full analysis
2025-12-14T02:56:31.375606709Z [inf]  [Engine] ❌ Position closed: BTCUSDT | PnL: 0.00% ($0.00) | Reason: sl
2025-12-14T02:56:32.382604549Z [inf]  [Engine] 🧠 Learned: En ausencia de confirmación y con imbalance 0%, evitar entrar; esperar señal técnica y desequilibrio en el order book.
2025-12-14T02:56:32.482473998Z [inf]  [Engine] ❌ Position closed: XRPUSDT | PnL: -0.01% ($-0.08) | Reason: tp
2025-12-14T02:56:33.914319569Z [inf]    "finish_reason": "stop"
2025-12-14T02:56:33.914329524Z [inf]  }
2025-12-14T02:56:33.914338079Z [inf]  [GPT-Screen] INJUSDT: score=25, direction=NONE, hasOpp=false
2025-12-14T02:56:33.914343643Z [inf]  [Engine] INJUSDT: No opportunity (score: 25) - skipping full analysis
2025-12-14T02:56:33.914381321Z [inf]  [GPT-Screen] INJUSDT full response: {
2025-12-14T02:56:33.914391359Z [inf]    "index": 0,
2025-12-14T02:56:33.914399282Z [inf]    "message": {
2025-12-14T02:56:33.914407748Z [inf]      "role": "assistant",
2025-12-14T02:56:33.914415488Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 25}",
2025-12-14T02:56:33.914424786Z [inf]      "refusal": null,
2025-12-14T02:56:33.914431790Z [inf]      "annotations": []
2025-12-14T02:56:33.914439583Z [inf]    },
2025-12-14T02:56:34.457488348Z [inf]    },
2025-12-14T02:56:34.457500546Z [inf]    "finish_reason": "stop"
2025-12-14T02:56:34.457507986Z [inf]  }
2025-12-14T02:56:34.457518748Z [inf]  [GPT-Screen] DOGEUSDT: score=20, direction=NONE, hasOpp=false
2025-12-14T02:56:34.457525304Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 20) - skipping full analysis
2025-12-14T02:56:34.457602199Z [inf]  [GPT-Screen] DOGEUSDT full response: {
2025-12-14T02:56:34.457608853Z [inf]    "index": 0,
2025-12-14T02:56:34.457614762Z [inf]    "message": {
2025-12-14T02:56:34.457622181Z [inf]      "role": "assistant",
2025-12-14T02:56:34.457628558Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 20}",
2025-12-14T02:56:34.457638440Z [inf]      "refusal": null,
2025-12-14T02:56:34.457647232Z [inf]      "annotations": []
2025-12-14T02:56:35.900181713Z [inf]  [GPT-Screen] LINKUSDT full response: {
2025-12-14T02:56:35.900196512Z [inf]    "index": 0,
2025-12-14T02:56:35.900203874Z [inf]    "message": {
2025-12-14T02:56:35.900210471Z [inf]      "role": "assistant",
2025-12-14T02:56:35.900216437Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 30}",
2025-12-14T02:56:35.900222000Z [inf]      "refusal": null,
2025-12-14T02:56:35.900228236Z [inf]      "annotations": []
2025-12-14T02:56:35.900234398Z [inf]    },
2025-12-14T02:56:35.900240792Z [inf]    "finish_reason": "stop"
2025-12-14T02:56:35.900248545Z [inf]  }
2025-12-14T02:56:35.900255789Z [inf]  [GPT-Screen] LINKUSDT: score=30, direction=NONE, hasOpp=false
2025-12-14T02:56:35.900261980Z [inf]  [Engine] LINKUSDT: No opportunity (score: 30) - skipping full analysis
2025-12-14T02:56:37.982546785Z [inf]  [Engine] BTCUSDT: BUY (58%)
2025-12-14T02:56:37.982555375Z [inf]  [Engine]   └─ Contexto: mercado en rango (ADX 10.3) y volatilidad baja (ATR 121 = 0.134%), ideal para scalping de ...
2025-12-14T02:56:37.982562882Z [inf]  [Engine]   └─ Size: 3% | Leverage: 4x
2025-12-14T02:56:37.982568617Z [inf]  [Engine]   └─ SL: $89995.00 | TP: $90410.00
2025-12-14T02:56:37.984691954Z [err]  /app/bot/dist/services/trading/engine.js:280
2025-12-14T02:56:37.984701720Z [err]                  position.takeProfit = decision.takeProfit;
2025-12-14T02:56:37.984707630Z [err]                                      ^
2025-12-14T02:56:37.984712630Z [err]  
2025-12-14T02:56:37.984717719Z [err]  TypeError: Cannot set properties of undefined (setting 'takeProfit')
2025-12-14T02:56:37.984722935Z [err]      at TradingEngine.analyzeAndDecide (/app/bot/dist/services/trading/engine.js:280:37)
2025-12-14T02:56:37.984727381Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
2025-12-14T02:56:37.984732173Z [err]  
2025-12-14T02:56:37.984736636Z [err]  Node.js v22.11.0
