2025-12-16T08:41:48.000000000Z [inf]  Starting Container
2025-12-16T08:41:49.762743982Z [inf]  =========================================
2025-12-16T08:41:49.762756388Z [inf]  
2025-12-16T08:41:49.762762780Z [inf]  [Config] All required configurations present
2025-12-16T08:41:49.762768691Z [inf]  [Config] Trading enabled: true
2025-12-16T08:41:49.762774825Z [inf]  [Config] Max leverage: 10x
2025-12-16T08:41:49.762781125Z [inf]  [Config] Max position size: 50%
2025-12-16T08:41:49.762787660Z [inf]  [Config] Min confidence: 45%
2025-12-16T08:41:49.762808512Z [inf]  [Config] Max hold time: 4h
2025-12-16T08:41:49.762819115Z [inf]  [Main] Auto-starting trading bot...
2025-12-16T08:41:49.762826584Z [inf]  [Engine] Starting trading bot...
2025-12-16T08:41:49.762832980Z [inf]  [Engine] Min confidence: 45%
2025-12-16T08:41:49.762839352Z [inf]  [Engine] Max leverage: 10x
2025-12-16T08:41:49.762845169Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-16T08:41:49.762850858Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-16T08:41:49.762870048Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-16T08:41:49.762875146Z [inf]  
2025-12-16T08:41:49.762880621Z [inf]  > gpt-scalping-bot@1.0.0 start
2025-12-16T08:41:49.762885521Z [inf]  > npm run start -w bot
2025-12-16T08:41:49.762890882Z [inf]  
2025-12-16T08:41:49.762895662Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-16T08:41:49.762903481Z [inf]  
2025-12-16T08:41:49.762907233Z [inf]  > bot@1.0.0 start
2025-12-16T08:41:49.762912842Z [inf]  > node dist/index.js
2025-12-16T08:41:49.762917329Z [inf]  
2025-12-16T08:41:49.762922366Z [inf]  [Binance] Using proxy: 104.239.37.18
2025-12-16T08:41:49.762927307Z [inf]  [WS] Proxy configured
2025-12-16T08:41:49.762932095Z [inf]  =========================================
2025-12-16T08:41:49.762936392Z [inf]      GPT 5.2 SCALPING BOT - v1.0.1
2025-12-16T08:41:49.763539258Z [inf]  [Server] Running on port 3001
2025-12-16T08:41:49.763546888Z [inf]  [Engine] Account balance: $4368.55
2025-12-16T08:41:49.763552293Z [inf]  [Engine] Available balance: $4368.55
2025-12-16T08:41:49.990739176Z [inf]  [Binance] Fetched 0 position records, 0 active
2025-12-16T08:41:49.990746588Z [inf]  [Engine] Raw positions from Binance: NONE
2025-12-16T08:41:49.990751522Z [inf]  [Engine] Found 0 open positions
2025-12-16T08:41:49.997359585Z [inf]  [Engine] Bot started successfully
2025-12-16T08:41:49.997365926Z [inf]  
2025-12-16T08:41:49.997371452Z [inf]  [Main] Bot is ready!
2025-12-16T08:41:49.997377201Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-16T08:41:49.997382496Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-16T08:41:49.997387637Z [inf]  
2025-12-16T08:41:50.839350328Z [inf]  [WS] Connected to Binance
2025-12-16T08:41:59.977902357Z [inf]  [GPT-Screen] INJUSDT full response: {
2025-12-16T08:41:59.977906108Z [inf]    "index": 0,
2025-12-16T08:41:59.977910773Z [inf]    "message": {
2025-12-16T08:41:59.977914607Z [inf]      "role": "assistant",
2025-12-16T08:41:59.977918349Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 20}",
2025-12-16T08:41:59.977922470Z [inf]      "refusal": null,
2025-12-16T08:41:59.977926705Z [inf]      "annotations": []
2025-12-16T08:41:59.977938815Z [inf]    },
2025-12-16T08:41:59.977943617Z [inf]    "finish_reason": "stop"
2025-12-16T08:41:59.977947330Z [inf]  }
2025-12-16T08:41:59.977953074Z [inf]  [GPT-Screen] INJUSDT: score=20, direction=NONE, hasOpp=false
2025-12-16T08:41:59.977958238Z [inf]  [Engine] INJUSDT: No opportunity (score: 20) - skipping full analysis
2025-12-16T08:42:00.320540412Z [inf]  [GPT-Screen] SOLUSDT: score=15, direction=NONE, hasOpp=false
2025-12-16T08:42:00.320552442Z [inf]  [Engine] SOLUSDT: No opportunity (score: 15) - skipping full analysis
2025-12-16T08:42:00.320577228Z [inf]  [GPT-Screen] SOLUSDT full response: {
2025-12-16T08:42:00.320582946Z [inf]    "index": 0,
2025-12-16T08:42:00.320588788Z [inf]    "message": {
2025-12-16T08:42:00.320593748Z [inf]      "role": "assistant",
2025-12-16T08:42:00.320599860Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 15}",
