2025-12-16T06:43:04.000000000Z [inf]  Starting Container
2025-12-16T06:43:04.606083651Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-16T06:43:04.606091044Z [inf]  
2025-12-16T06:43:04.606097865Z [inf]  > gpt-scalping-bot@1.0.0 start
2025-12-16T06:43:04.606104781Z [inf]  > npm run start -w bot
2025-12-16T06:43:04.606110831Z [inf]  
2025-12-16T06:43:04.669442150Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-16T06:43:05.541141469Z [inf]  [Main] Auto-starting trading bot...
2025-12-16T06:43:05.541153064Z [inf]  
2025-12-16T06:43:05.541154086Z [inf]  [Engine] Max leverage: 10x
2025-12-16T06:43:05.541158181Z [inf]  [Engine] Starting trading bot...
2025-12-16T06:43:05.541169307Z [inf]  [Engine] Min confidence: 45%
2025-12-16T06:43:05.541173223Z [inf]  [Binance] Using proxy: 104.239.37.18
2025-12-16T06:43:05.541175051Z [inf]  [Server] Running on port 3001
2025-12-16T06:43:05.541179146Z [inf]  [Config] Max leverage: 10x
2025-12-16T06:43:05.541188541Z [inf]  [WS] Proxy configured
2025-12-16T06:43:05.541191241Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-16T06:43:05.541192953Z [inf]  [Config] Max position size: 50%
2025-12-16T06:43:05.541201868Z [inf]  =========================================
2025-12-16T06:43:05.541204139Z [inf]  [Config] Min confidence: 45%
2025-12-16T06:43:05.541212167Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-16T06:43:05.541212411Z [inf]      GPT 5.2 SCALPING BOT - v1.0.1
2025-12-16T06:43:05.541216133Z [inf]  [Config] Max hold time: 4h
2025-12-16T06:43:05.541222072Z [inf]  =========================================
2025-12-16T06:43:05.541230875Z [inf]  
2025-12-16T06:43:05.541238910Z [inf]  [Config] All required configurations present
2025-12-16T06:43:05.541249035Z [inf]  [Config] Trading enabled: true
2025-12-16T06:43:05.541325534Z [inf]  
2025-12-16T06:43:05.541330661Z [inf]  > bot@1.0.0 start
2025-12-16T06:43:05.541335822Z [inf]  > node dist/index.js
2025-12-16T06:43:05.690269991Z [inf]  [Engine] Account balance: $4415.33
2025-12-16T06:43:05.690278447Z [inf]  [Engine] Available balance: $4415.33
2025-12-16T06:43:06.485560810Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-16T06:43:06.485569553Z [inf]  [Engine] Found 0 open positions
2025-12-16T06:43:06.485576607Z [inf]  
2025-12-16T06:43:06.485581638Z [inf]  [Engine] Bot started successfully
2025-12-16T06:43:06.485608218Z [inf]  
2025-12-16T06:43:06.485617699Z [inf]  [Main] Bot is ready!
2025-12-16T06:43:06.485627365Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-16T06:43:07.533657254Z [inf]  [WS] Connected to Binance
2025-12-16T06:43:12.492138420Z [inf]  [Socket] Client connected: jZd2Z-riRL2SrQL6AAAB
2025-12-16T06:43:18.622257571Z [inf]  [GPT-Screen] BTCUSDT: score=72, direction=BUY, hasOpp=true
2025-12-16T06:43:18.622270009Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 72, direction: BUY)
2025-12-16T06:43:18.622301482Z [inf]      "content": "{\"hasOpportunity\": true, \"direction\": \"BUY\", \"score\": 72}",
2025-12-16T06:43:18.622313738Z [inf]      "refusal": null,
2025-12-16T06:43:18.622319927Z [inf]      "annotations": []
2025-12-16T06:43:18.622325548Z [inf]    },
2025-12-16T06:43:18.622333315Z [inf]    "finish_reason": "stop"
2025-12-16T06:43:18.622339932Z [inf]  }
2025-12-16T06:43:18.622416101Z [inf]  [GPT-Screen] BTCUSDT full response: {
2025-12-16T06:43:18.622440654Z [inf]    "index": 0,
2025-12-16T06:43:18.622449729Z [inf]    "message": {
2025-12-16T06:43:18.622456788Z [inf]      "role": "assistant",
2025-12-16T06:43:18.801525324Z [inf]  [CryptoPanic] Rate limited, using neutral sentiment
2025-12-16T06:43:18.882985675Z [inf]  [GPT-Screen] SOLUSDT full response: {
2025-12-16T06:43:18.882991937Z [inf]    "index": 0,
2025-12-16T06:43:18.882996464Z [inf]    "message": {
2025-12-16T06:43:18.883001186Z [inf]      "role": "assistant",
2025-12-16T06:43:18.883005568Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 25}",
2025-12-16T06:43:18.883010432Z [inf]      "refusal": null,
2025-12-16T06:43:18.883015111Z [inf]      "annotations": []
2025-12-16T06:43:18.883019354Z [inf]    },
2025-12-16T06:43:18.883023837Z [inf]    "finish_reason": "stop"
2025-12-16T06:43:18.883028184Z [inf]  }
2025-12-16T06:43:18.883032641Z [inf]  [GPT-Screen] SOLUSDT: score=25, direction=NONE, hasOpp=false
2025-12-16T06:43:18.883045122Z [inf]  [Engine] SOLUSDT: No opportunity (score: 25) - skipping full analysis
2025-12-16T06:43:19.624342093Z [inf]  [GPT-Screen] INJUSDT full response: {
2025-12-16T06:43:19.624347645Z [inf]    "index": 0,
2025-12-16T06:43:19.624352755Z [inf]    "message": {
2025-12-16T06:43:19.624358807Z [inf]      "role": "assistant",
2025-12-16T06:43:19.624363835Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 28}",
2025-12-16T06:43:19.624368824Z [inf]      "refusal": null,
2025-12-16T06:43:19.624374716Z [inf]      "annotations": []
2025-12-16T06:43:19.624379452Z [inf]    },
2025-12-16T06:43:19.624384603Z [inf]    "finish_reason": "stop"
2025-12-16T06:43:19.624390988Z [inf]  }
2025-12-16T06:43:19.624397109Z [inf]  [GPT-Screen] INJUSDT: score=28, direction=NONE, hasOpp=false
2025-12-16T06:43:19.624402461Z [inf]  [Engine] INJUSDT: No opportunity (score: 28) - skipping full analysis
2025-12-16T06:43:21.638479099Z [inf]  [GPT-Screen] AVAXUSDT full response: {
2025-12-16T06:43:21.638491414Z [inf]    "index": 0,
2025-12-16T06:43:21.638499509Z [inf]    "message": {
2025-12-16T06:43:21.638506155Z [inf]      "role": "assistant",
2025-12-16T06:43:21.638512502Z [inf]      "content": "{\"hasOpportunity\": true, \"direction\": \"BUY\", \"score\": 60}",
2025-12-16T06:43:21.638520343Z [inf]      "refusal": null,
2025-12-16T06:43:21.638527205Z [inf]      "annotations": []
2025-12-16T06:43:21.638535782Z [inf]    },
2025-12-16T06:43:21.638547621Z [inf]    "finish_reason": "stop"
2025-12-16T06:43:21.638557043Z [inf]  }
2025-12-16T06:43:21.638562925Z [inf]  [GPT-Screen] AVAXUSDT: score=60, direction=BUY, hasOpp=true
2025-12-16T06:43:21.638568936Z [inf]  [Engine] AVAXUSDT: Opportunity detected! (score: 60, direction: BUY)
2025-12-16T06:43:21.638585523Z [inf]  [CryptoPanic] Using cached news data
2025-12-16T06:43:21.638592641Z [inf]  [CryptoPanic] Using cached news data
2025-12-16T06:43:22.684118763Z [inf]  [GPT-Screen] SUIUSDT full response: {
2025-12-16T06:43:22.684123617Z [inf]    "index": 0,
2025-12-16T06:43:22.684202546Z [inf]    "message": {
2025-12-16T06:43:22.684212823Z [inf]      "role": "assistant",
2025-12-16T06:43:22.684220061Z [inf]      "content": "{\"hasOpportunity\": true, \"direction\": \"SELL\", \"score\": 60}",
2025-12-16T06:43:22.684227411Z [inf]      "refusal": null,
2025-12-16T06:43:22.684234121Z [inf]      "annotations": []
2025-12-16T06:43:22.684256259Z [inf]    },
2025-12-16T06:43:22.684262766Z [inf]    "finish_reason": "stop"
2025-12-16T06:43:22.684271465Z [inf]  }
2025-12-16T06:43:22.684278157Z [inf]  [GPT-Screen] SUIUSDT: score=60, direction=SELL, hasOpp=true
