2025-12-16T07:04:19.000000000Z [inf]  Starting Container
2025-12-16T07:04:19.776106951Z [inf]  [Server] Running on port 3001
2025-12-16T07:04:19.776113600Z [inf]  =========================================
2025-12-16T07:04:19.776125161Z [inf]      GPT 5.2 SCALPING BOT - v1.0.1
2025-12-16T07:04:19.776132139Z [inf]  =========================================
2025-12-16T07:04:19.776137354Z [inf]  
2025-12-16T07:04:19.776142696Z [inf]  [Config] All required configurations present
2025-12-16T07:04:19.776147850Z [inf]  [Config] Trading enabled: true
2025-12-16T07:04:19.776152812Z [inf]  [Config] Max leverage: 10x
2025-12-16T07:04:19.776157643Z [inf]  [Config] Max position size: 50%
2025-12-16T07:04:19.776164707Z [inf]  [Config] Min confidence: 45%
2025-12-16T07:04:19.776170257Z [inf]  [Config] Max hold time: 4h
2025-12-16T07:04:19.776175296Z [inf]  [Main] Auto-starting trading bot...
2025-12-16T07:04:19.776180886Z [inf]  [Engine] Starting trading bot...
2025-12-16T07:04:19.776186069Z [inf]  [Engine] Min confidence: 45%
2025-12-16T07:04:19.776190985Z [inf]  [Engine] Max leverage: 10x
2025-12-16T07:04:19.776196697Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-16T07:04:19.776201577Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-16T07:04:20.316459827Z [inf]  [Engine] Account balance: $4405.48
2025-12-16T07:04:20.316469416Z [inf]  [Engine] Available balance: $4405.48
2025-12-16T07:04:20.843924630Z [inf]  [Engine] Found 0 open positions
2025-12-16T07:04:20.843930395Z [inf]  [Engine] Bot started successfully
2025-12-16T07:04:20.843935598Z [inf]  
2025-12-16T07:04:20.843940510Z [inf]  [Main] Bot is ready!
2025-12-16T07:04:20.843945563Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-16T07:04:20.843950840Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-16T07:04:20.843955957Z [inf]  
2025-12-16T07:04:21.512918159Z [inf]  [WS] Connected to Binance
2025-12-16T07:04:24.337841527Z [inf]  [Socket] Client connected: W_BwafUg3sFzVJfUAAAB
2025-12-16T07:04:33.206762021Z [inf]    "finish_reason": "stop"
2025-12-16T07:04:33.206762024Z [inf]  [GPT-Screen] LINKUSDT full response: {
2025-12-16T07:04:33.206772772Z [inf]    "index": 0,
2025-12-16T07:04:33.206773240Z [inf]  }
2025-12-16T07:04:33.206780703Z [inf]    "message": {
2025-12-16T07:04:33.206781832Z [inf]  [GPT-Screen] LINKUSDT: score=30, direction=NONE, hasOpp=false
2025-12-16T07:04:33.206788516Z [inf]      "role": "assistant",
2025-12-16T07:04:33.206791114Z [inf]  [Engine] LINKUSDT: No opportunity (score: 30) - skipping full analysis
2025-12-16T07:04:33.206795451Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 30}",
2025-12-16T07:04:33.206802560Z [inf]      "refusal": null,
2025-12-16T07:04:33.206810046Z [inf]      "annotations": []
2025-12-16T07:04:33.206818418Z [inf]    },
2025-12-16T07:04:33.212452562Z [inf]  [GPT-Screen] INJUSDT: score=20, direction=NONE, hasOpp=false
2025-12-16T07:04:33.212464418Z [inf]  [Engine] INJUSDT: No opportunity (score: 20) - skipping full analysis
2025-12-16T07:04:33.212469688Z [inf]  [GPT-Screen] INJUSDT full response: {
2025-12-16T07:04:33.212475456Z [inf]    "index": 0,
2025-12-16T07:04:33.212480862Z [inf]    "message": {
2025-12-16T07:04:33.212487190Z [inf]      "role": "assistant",
2025-12-16T07:04:33.212493298Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 20}",
2025-12-16T07:04:33.212499117Z [inf]      "refusal": null,
2025-12-16T07:04:33.212506683Z [inf]      "annotations": []
2025-12-16T07:04:33.212513085Z [inf]    },
2025-12-16T07:04:33.212519287Z [inf]    "finish_reason": "stop"
2025-12-16T07:04:33.212524966Z [inf]  }
2025-12-16T07:04:34.425099804Z [inf]  [GPT-Screen] SOLUSDT full response: {
2025-12-16T07:04:34.425113275Z [inf]    "index": 0,
2025-12-16T07:04:34.425119277Z [inf]    "message": {
2025-12-16T07:04:34.425124201Z [inf]      "role": "assistant",
2025-12-16T07:04:34.425129522Z [inf]      "content": "{\"hasOpportunity\": false, \"direction\": \"NONE\", \"score\": 28}",
2025-12-16T07:04:34.425134665Z [inf]      "refusal": null,
2025-12-16T07:04:34.425140327Z [inf]      "annotations": []
2025-12-16T07:04:34.425145391Z [inf]    },
2025-12-16T07:04:34.425150577Z [inf]    "finish_reason": "stop"
2025-12-16T07:04:34.425157230Z [inf]  }
2025-12-16T07:04:34.425162834Z [inf]  [GPT-Screen] SOLUSDT: score=28, direction=NONE, hasOpp=false
2025-12-16T07:04:34.425168027Z [inf]  [Engine] SOLUSDT: No opportunity (score: 28) - skipping full analysis
2025-12-16T07:04:35.931354617Z [inf]  }
